type,subjs
naive,n2_naive2_3.14
naive,n2_naive3_3.14
naive,n2_naive1_3.16
naive,n2_naive4_3.16
naive,n2_naive4_3.17
naive,n2_naive5_3.17
naive,n2_naive6_3.17
naive,n2_naive10_3.18
naive,n2_naive8_3.18
naive,n2_naive9_3.18
naive,n2_naive4_3.19
naive,n2_naive5_3.19
naive,n2_naive6_3.19
4h,n2_trained4_3.14
4h,n2_trained2_3.16
4h,n2_trained3_3.16
4h,n2_trained1_3.17
4h,n2_trained2_3.17
4h,n2_trained3_3.17
4h,n2_trained5_3.18
4h,n2_trained6_3.18
4h,n2_trained7_3.18
4h,n2_trained1_3.19
4h,n2_trained2_3.19
4h,n2_trained3_3.19
8h,n2_trained7_3.17
8h,n2_trained8_3.17
8h,n2_trained9_3.17
8h,n2_trained11_3.18
8h,n2_trained12_3.18
8h,n2_trained13_3.18
8h,n2_trained7_3.19
8h,n2_trained8_3.19
8h,n2_trained9_3.19
